ITEM NO,ITEM DESCRIPTION,LOCATION,UOM,STD STOCK,LAST MONTH STOCK,ACTUAL,UNIT PRICE,AMOUNT
R1-1,Soldering Tip T12-D24,Rack 1,Pc,2,,16,"Rp 162,880","Rp 2,606,080"
R1-2,Soldering Tip 900M-T-4C,Rack 1,Pc,3,,153,"Rp 54,555","Rp 8,346,915"
R1-3,Bit Shock 3B1310 NAC,Rack 1,Pc,1,,6,"Rp 93,500","Rp 561,000"
R1-4,Hand Reamer Ø 10H7HSS,Rack 1,Pc,1,,2,"Rp 625,000","Rp 1,250,000"
R1-5,Bit Shock 3B1020 NAC,Rack 1,Pc,1,,7,"Rp 132,000","Rp 924,000"
R1-6,Bit Shock 3B0815 NAC,Rack 1,Pc,1,,3,"Rp 85,000","Rp 255,000"
R1-7,Mata Bor 3.1 Nachi,Rack 1,Pc,10,,50,"Rp 13,550","Rp 677,500"
R1-8,Driver Bit + 2x200G,Rack 1,Pc,1,,4,"Rp 23,650","Rp 94,600"
R1-9,Driver Bit + 2x100H,Rack 1,Pack,2,,3,"Rp 140,000","Rp 420,000"
R1-10,Mata Bor 6.0 Nachi,Rack 1,Pc,1,,0,"Rp 20,425",Rp -
R1-11,Isolasi Listrik Nitto 0.15mm 3/4in,Rack 1,Pc,2,,2,"Rp 8,000","Rp 16,000"
R1-12,Suntikan 10 cc / ml,Rack 1,Pc,4,,26,"Rp 37,500","Rp 975,000"
R1-13,Soldering Tip T18-D32,Rack 1,Pc,4,,1,"Rp 86,400","Rp 86,400"
R1-14,Soldering Tip T18-D24,Rack 1,Pc,4,,40,"Rp 86,400","Rp 3,456,000"
R1-15,Hand Reamer Ø 8mm,Rack 1,Pc,1,,2,"Rp 625,000","Rp 1,250,000"
R1-16,Tap M5x0.8,Rack 1,Pc,2,,9,"Rp 108,000","Rp 972,000"
R1-17,Shiny Stamp N58,Rack 1,Pc,2,,2,"Rp 68,000","Rp 136,000"
R1-18,Seal Tape ONDA,Rack 1,Pc,2,,1,"Rp 5,000","Rp 5,000"
R1-19,Shiny Stamp N48,Rack 1,Pc,2,,9,"Rp 48,000","Rp 432,000"
R1-20,Cleaning Sponge H333SP,Rack 1,Pc,10,,209,"Rp 5,540","Rp 1,157,860"
R1-21,Clamp Selang,Rack 1,Pc,5,,37,"Rp 2,000","Rp 74,000"
R1-22,Spring Stapler Packing,Rack 1,Pc,2,,10,"Rp 90,000","Rp 900,000"
R1-23,Ball Bearing Proj.Welding,Rack 1,Pack,2,,41,"Rp 30,000","Rp 1,230,000"
R1-24,Pisau Packing Tape,Rack 1,Pc,1,,11,"Rp 600,000","Rp 6,600,000"
R1-25,Magnet Driver Bit,Rack 1,Pc,4,,1,"Rp 45,000","Rp 45,000"
R1-26,Jarum Pengupas Ø 2.5 mm,Rack 1,Pc,1,,,"Rp 42,000",Rp -
R1-27,Driver Bit - Mini,Rack 1,Pc,5,,23,"Rp 13,000","Rp 299,000"
R1-28,Tap M8x1.25,Rack 1,Pc,1,,7,"Rp 175,000","Rp 1,225,000"
R1-29,Tap M4x0.7,Rack 1,Pc,3,,19,"Rp 90,000","Rp 1,710,000"
R1-30,Tap M6x1,Rack 1,Pc,2,,5,"Rp 120,000","Rp 600,000"
R1-31,Jarum Pengupas Ø 3 mm,Rack 1,Pc,1,,,"Rp 45,000",Rp -
R1-32,Soldering Bit Apollo SG-40GAV28,Rack 1,Pc,10,,30,"Rp 840,000","Rp 25,200,000"
R1-33,Tinta shachihata,Rack 1,Pc,1,,2,"Rp 245,000","Rp 490,000"
R1-34,Heater sealer,Rack 1,Pc,4,,7,"Rp 17,500","Rp 122,500"
R1-35,Kontak tusuk,Rack 1,Pc,2,,0,"Rp 15,000",Rp -
R1-36,Rumah kontak 2 socket,Rack 1,Pc,1,,8,"Rp 15,000","Rp 120,000"
R1-37,Rumah kontak 4 socket,Rack 1,Pc,1,,15,"Rp 25,000","Rp 375,000"
R1-38,Spring Balancer TW-0,Rack 1,Pc,1,,0,"Rp 388,500",Rp -
R1-39,Solder pot 96-2,Rack 1,Pc,1,,1,"Rp 1,300,000","Rp 1,300,000"
R1-40,Tempat thinner ukuran kecil,Rack 1,Pc,1,,,"Rp 7,000",Rp -
R1-41,Tempat thinner ukuran besar,Rack 1,Pc,1,,,"Rp 15,000",Rp -
R1-42,Hoist switch HY-1026 SBBB,Rack 1,Pc,1,,1,"Rp 750,000","Rp 750,000"
R1-43,Hoist switch HY-1024 SBB,Rack 1,Pc,1,,,"Rp 575,000",Rp -
R1-44,Hoist switch HY-1022 SB,Rack 1,Pc,1,,1,"Rp 345,000","Rp 345,000"
R1-45,Thermal overload TH-N20KP,Rack 1,Pc,1,,1,"Rp 475,000","Rp 475,000"
R1-46,Thermal overload TR-ON/3,Rack 1,Pc,1,,1,"Rp 510,000","Rp 510,000"
R1-47,Magnetic contactor S-N80 110V,Rack 1,Pc,1,,1,"Rp 1,025,000","Rp 1,025,000"
